words,sentiment_coeff
tent,-29.782986793849407
ha,-17.114732595341682
vis,-24.16219577644512
consid,-23.502709674858846
band,-44.22184644760225
secondair,-20.182057845414345
guignol,-20.353822782269955
attaqu,-34.776664527668665
assur,-27.80544237464052
entrepreneur,-35.21536672432288
ner,-39.81172197683768
retrait,-33.93729149940638
usa,-34.12168625842785
meur,-36.56257657126461
centain,-24.823669632920605
hor,-24.217243563792966
invers,-22.16493597055616
oser,-38.224690525857056
accept,-32.56831261745067
piec,-18.927086558140044
conomiqu,-5.346581592729217
affair,-24.74573921164238
mar,-43.88296169600108
ti,-30.25634328957034
produit,-24.636205944691707
tar,-39.885881006057524
mental,-38.38751932984314
janvi,-26.8765052074752
rimental,-20.913082429206874
mem,-43.835593819965375
discrimin,-30.25979002381588
all,-38.95100905603779
or,0.0
tranquill,-38.95622980004308
avis,-40.27565987664904
restaur,-32.591622998772316
scandal,-3.7083470872700546
ancien,-27.76011345018776
lutt,-11.081444832538477
allong,1.3935598022272129
crois,-32.49454265674194
promettr,-21.425834990929864
impossibl,-31.91255960114307
tap,-35.800271982379684
assum,-33.24540125999653
absolu,-17.601924232761284
photo,-23.282437962683662
apartheid,-24.140288657527066
indign,-31.17415850762312
confl,-28.92042946618005
trist,-36.69399439079573
polic,-27.052363589533748
amour,-34.57325695996249
pareil,-31.104933430292235
sc,-30.669707971306064
instaur,-31.929401935372645
immun,-24.70102572954244
vill,-34.52847563449858
util,-38.18823925135285
cit,-38.27910513228706
man,-39.31782131581298
produir,-20.75487387448939
excus,-37.94492848941972
otan,-36.11415144777269
term,-25.174224765866892
per,-9.096656068320938
intelligent,-30.023652137625422
startup,-26.243943545590934
effect,-46.2468561038108
urgenc,-28.972522019311842
not,-31.795816122329388
riqu,-24.436419848528036
carr,-24.487196514269808
dessus,-34.611553628389174
etre,-31.01296916938291
fatigu,-10.304132014366285
mis,-29.87888659136429
niqu,-32.572209902350934
boulot,-36.115945166632805
gaull,-20.565390913523004
dr,-12.557951758488297
sur,-43.32030052441044
up,-26.805603578828293
nucl,-24.449245194568878
offrir,-41.970383042971214
restrict,-26.336950919229277
sondag,-21.090706885699884
marin,-26.243782586397565
connard,-42.86997226261408
presqu,-34.61465485065393
obsess,-39.1994108207055
inform,-23.13686681229293
ro,-27.53222326191906
ely,-36.489634208047626
fens,-28.362729912713185
mont,-19.811835302971144
soutien,-37.391713461486354
sub,-23.161155285181117
ose,-40.521636428458464
pur,-41.583044221403206
hypocrit,-41.587966174614586
ant,-24.772775205072964
journal,-42.21169475458531
vien,-36.75363284883418
explos,-42.80242817995883
group,-30.768535683802355
ruin,-42.80927747862088
norm,-35.03503864477842
puissanc,-31.248754894783506
espagn,-36.50690236084237
esprit,-32.70841628749272
condamn,-33.86182697786639
plusieur,-33.309947637751954
final,-36.26927489269119
format,-27.619510233934975
allemand,-29.853781609021592
coll,-32.23103530318043
rat,-34.85955218278901
clar,-28.9834258797374
fermetur,-29.740735030118728
lol,-29.17291729545392
stp,-22.76687376501168
pourr,-37.612064928005445
immigr,-32.64501161951643
climat,-29.120764275110353
sp,-18.372404353589253
jeu,-36.21996608730689
tais,-44.78273472953924
carbur,-27.605668188296278
capabl,-29.086100992168117
jeanmicheltrogn,-19.171533322405796
licit,-37.43711642404529
dical,-34.4256378142318
fratern,-23.959531602286113
imagin,-44.11152793706192
direct,-22.706286045983607
tet,0.0
vol,-26.308918486682025
industr,-32.728422792875854
enlev,-37.03816699384249
gaz,-35.925613034571974
voi,-37.26273624674797
nonc,-2.6279510239095787
incroi,-30.2009408296897
dingu,-31.055497223409517
croi,-41.19973852231134
tra,-18.505118269096037
arbitrair,-27.398139972216317
balanc,-33.50267803872594
coul,-29.222571326447504
finit,-27.325875799611364
vom,-34.649870324233916
tien,-25.44470084467991
facil,-32.76040314208614
gratuit,-31.77898900405628
malheur,-30.74448136482194
liberticid,-24.678851348030427
couvr,-39.63221231096305
index,1.85717342718145
tis,-37.832198976860624
idiot,-31.029040610218285
prior,-40.19008822289907
rang,-41.987116949756725
ussit,-34.33182302384192
dup,-13.248809045971905
tendr,-39.513730816671355
imag,-38.872898616308184
dit,-41.996226252764494
camion,1.181180004423051
cart,-37.16347417818056
ler,-27.6859519193788
incap,-34.734711937086495
drapeau,-17.013108029409608
fen,-3.6932924949954975
tromp,-38.974997950690614
velopp,-27.283316474717154
assassin,-32.14860070987072
responsabil,-23.582491258321593
voitur,-18.602371484683708
nerg,-22.34241550026334
gt,-23.4412891390138
lign,-34.52972564575747
qu,-37.36114724874537
applaud,-35.70509450251803
moqu,-28.45268094925163
bafou,-30.1931438491363
mat,-29.896309090621163
el,-24.618289470924594
jaun,-19.082769294408294
bizarr,-25.093611828632977
extr,-30.193347416557792
plais,-40.04720646221885
confin,-35.210282831071204
conscienc,-38.67735135805885
profond,-33.62370265645673
ensembl,-31.506968097724844
vision,-30.288679249775086
cac,-2.0072244769297583
afin,-33.645234000792655
remettr,-35.428156187751
abord,-36.11476627932253
rencontr,-37.21424061725997
sit,-39.081929084708264
minin,-2.7238739866776407
nez,-19.52765822156935
dat,-33.274055758446075
habit,-18.941894974713318
chacun,-38.0612541394222
rend,-38.22089270044101
pognon,-35.83679227784721
couill,-43.15418696542799
tabl,-34.67172312108904
li,-39.796189364265594
lyc,-33.320261159262806
num,-27.475748700450982
rienc,-28.752576136079075
bron,-37.37087361423147
souvent,-38.23594267088972
cin,-21.481645792677448
prouv,-20.394216635419163
hon,-4.8790794900562835
edf,-29.243807852189498
os,-18.761565326512777
dix,-38.23850834684551
pression,-38.026157682990934
appliqu,-36.73388401866284
tenc,-29.93538465422107
press,-21.676239303899372
enrich,-43.49576920713654
juif,-23.243453260072545
der,-37.053905889248355
violenc,-36.49946091815486
fiscal,-31.231938982545792
sang,-36.65191219129116
sinc,-31.048187681502245
cordial,-22.03753435960663
dis,-20.83732585055377
bref,-37.877958939440234
lanc,-23.960670296881357
salar,-35.47339839754101
second,-39.17057032938521
chut,-32.54509727038316
chinois,-17.669633547947054
poqu,-25.775881333498226
men,-38.224232676004554
ensuit,-33.09488018588151
hurl,-11.176805772983322
condit,-31.488504986411275
start,-28.16274331059769
difficil,-33.63590177002638
crir,-35.36671366447105
hi,-38.45250269406499
quas,-33.541801970754
reconnaîtr,-38.32258126214168
sacr,-20.329454703878405
bordel,-41.74408103582402
honneur,-41.893167458034654
rempl,-42.05072827523458
copain,-26.617077088539464
hommag,-39.42293512560739
gripp,-31.403772223258372
patron,-25.037808328450016
banqui,-42.90479095543661
poch,-36.32565703110722
contrat,-20.755083741980417
rever,1.741828352589604
corp,-36.70663533988535
est,-36.08850938383553
perver,-32.00090410058945
achat,-29.150856499227444
majeur,-43.63662541243453
nord,-23.47769486441286
pit,-43.426076093549746
attrap,-30.049020650337365
lum,-24.797092762604443
apparent,-29.47476270051423
permanent,-36.180952197166334
riantvisag,-2.5847507114502895
harc,-25.827152946359483
youtub,0.0
bouff,-40.68202566478995
circul,-27.352972983032505
degag,-51.14321577774199
consult,-37.729441780461634
souriantsvisag,-2.168050814285905
lement,-22.575513915268413
rel,-37.72065157762699
feu,-33.5784392096353
ripost,-20.342138502461907
install,-13.297961777995349
ouai,-17.264886085264287
pitoi,-39.435128017590664
retir,-38.108385135261074
ussi,-42.440733335459456
eh,-36.062358927187184
foutag,-30.27884416537741
matin,-28.965960684200805
prim,-39.6552402001351
baspouc,1.7650718055961128
selon,-38.43060856260743
rent,-25.780181570074813
particip,-37.890125260745684
rhum,-35.370247537947385
travers,-36.643991350150834
bil,-40.81159824600885
jupit,-42.55211363084041
pouss,-32.04989891816701
phras,-14.868350398463077
cup,-44.51403512640199
mai,-38.140077136845235
cec,-38.72268341571381
ritabl,-29.75976116103479
commerc,-28.703891391444444
alstom,-28.506636298044796
ent,-30.4805746195687
fiasco,-2.9012977961420945
administr,-28.618565519979587
quip,-33.933681331975386
articul,1.2281964189653738
impress,-32.476323490968525
voic,-40.31460391486313
ador,-27.122365867477
agriculteur,-35.75603646491418
tin,-20.727509251889227
encul,-42.16884115090006
italien,-36.02141029584208
larg,-33.913269487942415
combat,-28.343018579575673
entrer,-36.686702637364796
construir,-35.20134357794222
manifest,-18.35521476491242
nuremberg,-34.034390876129486
arme,-32.907068689284145
pseudo,-29.508676008542874
nau,-5.801129693774503
remplac,-36.05484461599872
nan,-43.821519568640106
mer,-16.832365283489704
object,-34.04218410705366
chat,-3.826096198075446
fondamental,-35.161070304310144
coronavirus,-2.669986113814149
narciss,-31.952034316838663
clarat,-37.77723189021989
duir,-34.16970513052076
salut,-38.31756584900363
critiqu,-37.967236963544785
entr,-36.855359143211366
